task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
2	ab/8b4282	20149	kraken_pipeline:run_common:getParams	COMPLETED	0	2023-11-30 09:17:44.983	1.4s	13ms	153.8%	0	0	61.8 KB	4.9 KB
17	bf/45535a	23558	kraken_pipeline:output (1)	COMPLETED	0	2023-11-30 09:17:47.375	828ms	4ms	59.6%	0	0	58.1 KB	1.2 KB
3	03/e32058	20397	kraken_pipeline:run_common:getVersions	COMPLETED	0	2023-11-30 09:17:45.091	4s	2s	201.2%	51 MB	3.7 GB	12.1 MB	8.7 MB
18	97/5b7843	26690	kraken_pipeline:output (2)	COMPLETED	0	2023-11-30 09:17:50.125	964ms	6ms	98.2%	0	0	58.1 KB	1.2 KB
13	5e/94843e	20226	fastcat (9)	COMPLETED	0	2023-11-30 09:17:45.006	7.3s	4.6s	55.5%	11.5 MB	25.2 MB	64.4 MB	48.9 MB
11	eb/66aba5	20330	fastcat (7)	COMPLETED	0	2023-11-30 09:17:45.058	7.3s	4.2s	51.4%	11.8 MB	25.2 MB	51.4 MB	38.8 MB
12	9f/d27c71	20380	fastcat (8)	COMPLETED	0	2023-11-30 09:17:45.080	10.8s	8.5s	30.2%	11.4 MB	25.2 MB	61.9 MB	47 MB
14	ca/85f324	20197	fastcat (10)	COMPLETED	0	2023-11-30 09:17:44.998	11.7s	9.5s	51.9%	11.4 MB	25.2 MB	127.5 MB	96.7 MB
10	60/9d01ca	20103	fastcat (6)	COMPLETED	0	2023-11-30 09:17:44.959	14.3s	12.7s	43.9%	11.4 MB	25.2 MB	145.5 MB	110.3 MB
16	71/bfff73	29355	fastcat (12)	COMPLETED	0	2023-11-30 09:17:52.353	7.4s	6.3s	48.2%	12.2 MB	26.5 MB	76.1 MB	57.5 MB
9	90/89b94f	20350	fastcat (5)	COMPLETED	0	2023-11-30 09:17:45.068	14.7s	12.2s	34.7%	11.4 MB	25.3 MB	99.2 MB	75.1 MB
5	a0/8474c5	20169	fastcat (1)	COMPLETED	0	2023-11-30 09:17:44.990	14.9s	13.4s	54.4%	11.5 MB	25.2 MB	191.7 MB	145.5 MB
7	e4/6d634c	29287	fastcat (3)	COMPLETED	0	2023-11-30 09:17:52.269	9.5s	8.6s	54.2%	11.3 MB	25.2 MB	117.3 MB	88.8 MB
8	ca/7d3777	672	fastcat (4)	COMPLETED	0	2023-11-30 09:17:55.869	7.1s	6.2s	64.2%	40.5 MB	1.4 GB	101.5 MB	77 MB
